nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=5000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/3317pa9k
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211214_134615-3317pa9k
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1565.777 | Updates  137 | Remaining time  6.75 hours
Episode   69 | Return  -124.105 | Updates  200 | Remaining time  5.57 hours
Episode   70 | Return    -3.451 | Updates  200 | Remaining time  5.55 hours
Episode   71 | Return    -4.552 | Updates  200 | Remaining time  5.54 hours
Episode   72 | Return  -128.839 | Updates  200 | Remaining time  5.54 hours
Episode   73 | Return  -353.476 | Updates  200 | Remaining time  5.52 hours
Episode   74 | Return  -126.612 | Updates  200 | Remaining time  5.52 hours
Episode   75 | Return    -7.173 | Updates  200 | Remaining time  5.50 hours
Episode   76 | Return    -9.159 | Updates  200 | Remaining time  5.49 hours
Episode   77 | Return  -126.491 | Updates  200 | Remaining time  5.48 hours
Episode   78 | Return   -11.419 | Updates  200 | Remaining time  5.46 hours
Episode   79 | Return  -247.561 | Updates  200 | Remaining time  5.45 hours
Episode   80 | Return  -128.305 | Updates  200 | Remaining time  5.45 hours
Episode   81 | Return  -232.702 | Updates  200 | Remaining time  5.44 hours
Episode   82 | Return  -131.094 | Updates  200 | Remaining time  5.43 hours
Episode   83 | Return  -247.873 | Updates  200 | Remaining time  5.42 hours
Episode   84 | Return  -129.648 | Updates  200 | Remaining time  5.41 hours
Episode   85 | Return  -127.778 | Updates  200 | Remaining time  5.40 hours
Episode   86 | Return  -127.319 | Updates  200 | Remaining time  5.38 hours
Episode   87 | Return  -246.763 | Updates  200 | Remaining time  5.37 hours
Episode   88 | Return  -238.160 | Updates  200 | Remaining time  5.36 hours
Episode   89 | Return  -250.626 | Updates  200 | Remaining time  5.35 hours
Episode   90 | Return  -249.165 | Updates  200 | Remaining time  5.34 hours
Episode   91 | Return  -236.577 | Updates  200 | Remaining time  5.33 hours
Episode   92 | Return  -231.702 | Updates  200 | Remaining time  5.32 hours
Episode   93 | Return  -131.931 | Updates  200 | Remaining time  5.31 hours
Episode   94 | Return  -245.706 | Updates  200 | Remaining time  5.30 hours
Episode   95 | Return  -131.673 | Updates  200 | Remaining time  5.30 hours
Episode   96 | Return  -253.647 | Updates  200 | Remaining time  5.29 hours
Episode   97 | Return  -247.219 | Updates  200 | Remaining time  5.29 hours
Episode   98 | Return   -13.761 | Updates  200 | Remaining time  5.28 hours
Episode   99 | Return  -135.977 | Updates  200 | Remaining time  5.28 hours
Episode  100 | Return  -253.417 | Updates  200 | Remaining time  5.28 hours
Episode  101 | Return   -10.680 | Updates  200 | Remaining time  5.27 hours
Episode  102 | Return  -125.052 | Updates  200 | Remaining time  5.27 hours
Episode  103 | Return  -124.702 | Updates  200 | Remaining time  5.26 hours
Episode  104 | Return  -123.426 | Updates  200 | Remaining time  5.26 hours
Episode  105 | Return  -245.570 | Updates  200 | Remaining time  5.26 hours
Episode  106 | Return  -232.985 | Updates  200 | Remaining time  5.25 hours
Episode  107 | Return  -243.164 | Updates  200 | Remaining time  5.25 hours
Episode  108 | Return  -243.234 | Updates  200 | Remaining time  5.26 hours
Episode  109 | Return  -128.409 | Updates  200 | Remaining time  5.25 hours
Episode  110 | Return  -125.893 | Updates  200 | Remaining time  5.24 hours
Episode  111 | Return    -5.549 | Updates  200 | Remaining time  5.24 hours
Episode  112 | Return  -236.488 | Updates  200 | Remaining time  5.24 hours
Episode  113 | Return  -325.314 | Updates  200 | Remaining time  5.24 hours
Episode  114 | Return    -2.833 | Updates  200 | Remaining time  5.25 hours
Episode  115 | Return  -124.693 | Updates  200 | Remaining time  5.25 hours
Episode  116 | Return    -9.104 | Updates  200 | Remaining time  5.25 hours
Episode  117 | Return  -132.076 | Updates  200 | Remaining time  5.25 hours
Episode  118 | Return  -233.596 | Updates  200 | Remaining time  5.24 hours
Episode  119 | Return  -326.373 | Updates  200 | Remaining time  5.25 hours
Episode  120 | Return  -121.549 | Updates  200 | Remaining time  5.25 hours
Episode  121 | Return  -125.854 | Updates  200 | Remaining time  5.26 hours
Episode  122 | Return  -134.873 | Updates  200 | Remaining time  5.27 hours
Episode  123 | Return    -6.589 | Updates  200 | Remaining time  5.27 hours
Episode  124 | Return  -121.856 | Updates  200 | Remaining time  5.27 hours
Episode  125 | Return  -226.034 | Updates  200 | Remaining time  5.26 hours
Episode  126 | Return  -128.874 | Updates  200 | Remaining time  5.26 hours
Episode  127 | Return  -122.465 | Updates  200 | Remaining time  5.25 hours
Episode  128 | Return  -130.082 | Updates  200 | Remaining time  5.25 hours
Episode  129 | Return  -123.616 | Updates  200 | Remaining time  5.25 hours
Episode  130 | Return  -127.010 | Updates  200 | Remaining time  5.24 hours
Episode  131 | Return  -343.646 | Updates  200 | Remaining time  5.24 hours
Episode  132 | Return  -125.649 | Updates  200 | Remaining time  5.24 hours
Episode  133 | Return  -127.850 | Updates  200 | Remaining time  5.23 hours
Episode  134 | Return  -234.048 | Updates  200 | Remaining time  5.23 hours
Episode  135 | Return  -128.895 | Updates  200 | Remaining time  5.22 hours
Episode  136 | Return  -231.158 | Updates  200 | Remaining time  5.21 hours
Episode  137 | Return  -128.154 | Updates  200 | Remaining time  5.21 hours
Episode  138 | Return  -117.090 | Updates  200 | Remaining time  5.20 hours
Episode  139 | Return   -10.076 | Updates  200 | Remaining time  5.20 hours
Episode  140 | Return    -7.469 | Updates  200 | Remaining time  5.19 hours
Episode  141 | Return  -232.271 | Updates  200 | Remaining time  5.19 hours
Episode  142 | Return  -321.810 | Updates  200 | Remaining time  5.18 hours
Episode  143 | Return  -123.375 | Updates  200 | Remaining time  5.18 hours
Episode  144 | Return  -242.168 | Updates  200 | Remaining time  5.18 hours
Episode  145 | Return    -2.697 | Updates  200 | Remaining time  5.17 hours
Episode  146 | Return  -253.953 | Updates  200 | Remaining time  5.17 hours
Episode  147 | Return  -130.171 | Updates  200 | Remaining time  5.16 hours
Episode  148 | Return  -120.700 | Updates  200 | Remaining time  5.16 hours
Episode  149 | Return  -131.694 | Updates  200 | Remaining time  5.16 hours
Episode  150 | Return  -127.170 | Updates  200 | Remaining time  5.15 hours
Episode  151 | Return  -130.007 | Updates  200 | Remaining time  5.15 hours
Episode  152 | Return  -126.260 | Updates  200 | Remaining time  5.14 hours
Episode  153 | Return  -129.826 | Updates  200 | Remaining time  5.14 hours
Episode  154 | Return  -134.552 | Updates  200 | Remaining time  5.14 hours
Episode  155 | Return  -129.505 | Updates  200 | Remaining time  5.13 hours
Episode  156 | Return  -127.741 | Updates  200 | Remaining time  5.13 hours
Episode  157 | Return    -9.337 | Updates  200 | Remaining time  5.13 hours
Episode  158 | Return  -243.213 | Updates  200 | Remaining time  5.13 hours
Episode  159 | Return  -125.104 | Updates  200 | Remaining time  5.12 hours
Episode  160 | Return  -277.133 | Updates  200 | Remaining time  5.12 hours
Episode  161 | Return  -125.386 | Updates  200 | Remaining time  5.12 hours
Episode  162 | Return  -119.808 | Updates  200 | Remaining time  5.12 hours
Episode  163 | Return  -245.930 | Updates  200 | Remaining time  5.12 hours
Episode  164 | Return  -123.680 | Updates  200 | Remaining time  5.12 hours
Episode  165 | Return  -134.566 | Updates  200 | Remaining time  5.12 hours
Episode  166 | Return  -242.530 | Updates  200 | Remaining time  5.11 hours
Episode  167 | Return  -124.355 | Updates  200 | Remaining time  5.11 hours
Episode  168 | Return  -126.784 | Updates  200 | Remaining time  5.11 hours
Episode  169 | Return  -256.809 | Updates  200 | Remaining time  5.11 hours
Episode  170 | Return  -128.201 | Updates  200 | Remaining time  5.11 hours
Episode  171 | Return  -119.327 | Updates  200 | Remaining time  5.10 hours
Episode  172 | Return  -118.839 | Updates  200 | Remaining time  5.10 hours
Episode  173 | Return    -6.960 | Updates  200 | Remaining time  5.10 hours
Episode  174 | Return  -243.011 | Updates  200 | Remaining time  5.10 hours
Episode  175 | Return   -12.545 | Updates  200 | Remaining time  5.10 hours
Episode  176 | Return   -12.554 | Updates  200 | Remaining time  5.10 hours
