nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=1000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/2o15r61p
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211215_101232-2o15r61p
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1386.808 | Updates  137 | Remaining time  0.54 hours
Episode   69 | Return  -236.431 | Updates  200 | Remaining time  0.69 hours
Episode   70 | Return  -373.103 | Updates  200 | Remaining time  0.69 hours
Episode   71 | Return  -131.884 | Updates  200 | Remaining time  0.69 hours
Episode   72 | Return -1357.867 | Updates  200 | Remaining time  0.69 hours
Episode   73 | Return  -237.109 | Updates  200 | Remaining time  0.69 hours
Episode   74 | Return  -132.698 | Updates  200 | Remaining time  0.69 hours
Episode   75 | Return  -258.915 | Updates  200 | Remaining time  0.69 hours
Episode   76 | Return  -239.201 | Updates  200 | Remaining time  0.69 hours
Episode   77 | Return  -126.132 | Updates  200 | Remaining time  0.69 hours
Episode   78 | Return  -129.591 | Updates  200 | Remaining time  0.69 hours
Episode   79 | Return  -128.483 | Updates  200 | Remaining time  0.69 hours
Episode   80 | Return  -255.029 | Updates  200 | Remaining time  0.69 hours
Episode   81 | Return  -120.089 | Updates  200 | Remaining time  0.69 hours
Episode   82 | Return  -132.083 | Updates  200 | Remaining time  0.69 hours
Episode   83 | Return  -129.578 | Updates  200 | Remaining time  0.69 hours
Episode   84 | Return  -127.448 | Updates  200 | Remaining time  0.70 hours
Episode   85 | Return    -7.811 | Updates  200 | Remaining time  0.70 hours
Episode   86 | Return  -123.929 | Updates  200 | Remaining time  0.70 hours
Episode   87 | Return    -9.625 | Updates  200 | Remaining time  0.70 hours
Episode   88 | Return  -132.408 | Updates  200 | Remaining time  0.70 hours
Episode   89 | Return  -242.688 | Updates  200 | Remaining time  0.70 hours
Episode   90 | Return  -128.508 | Updates  200 | Remaining time  0.70 hours
Episode   91 | Return    -9.597 | Updates  200 | Remaining time  0.70 hours
Episode   92 | Return  -235.133 | Updates  200 | Remaining time  0.70 hours
Episode   93 | Return  -125.837 | Updates  200 | Remaining time  0.70 hours
Episode   94 | Return  -246.853 | Updates  200 | Remaining time  0.70 hours
Episode   95 | Return  -128.814 | Updates  200 | Remaining time  0.70 hours
Episode   96 | Return  -130.406 | Updates  200 | Remaining time  0.70 hours
Episode   97 | Return  -124.472 | Updates  200 | Remaining time  0.70 hours
Episode   98 | Return  -129.662 | Updates  200 | Remaining time  0.70 hours
Episode   99 | Return    -4.716 | Updates  200 | Remaining time  0.70 hours
Episode  100 | Return  -128.972 | Updates  200 | Remaining time  0.70 hours
Episode  101 | Return  -238.745 | Updates  200 | Remaining time  0.70 hours
Episode  102 | Return  -128.416 | Updates  200 | Remaining time  0.70 hours
Episode  103 | Return  -129.229 | Updates  200 | Remaining time  0.70 hours
Episode  104 | Return  -120.411 | Updates  200 | Remaining time  0.70 hours
Episode  105 | Return  -124.718 | Updates  200 | Remaining time  0.70 hours
Episode  106 | Return   -10.962 | Updates  200 | Remaining time  0.70 hours
Episode  107 | Return  -121.109 | Updates  200 | Remaining time  0.70 hours
Episode  108 | Return  -122.549 | Updates  200 | Remaining time  0.69 hours
Episode  109 | Return  -135.808 | Updates  200 | Remaining time  0.69 hours
Episode  110 | Return  -246.286 | Updates  200 | Remaining time  0.69 hours
Episode  111 | Return  -245.652 | Updates  200 | Remaining time  0.69 hours
Episode  112 | Return  -238.387 | Updates  200 | Remaining time  0.69 hours
Episode  113 | Return  -126.239 | Updates  200 | Remaining time  0.69 hours
Episode  114 | Return  -130.891 | Updates  200 | Remaining time  0.69 hours
Episode  115 | Return  -131.441 | Updates  200 | Remaining time  0.69 hours
Episode  116 | Return    -6.839 | Updates  200 | Remaining time  0.69 hours
Episode  117 | Return  -367.955 | Updates  200 | Remaining time  0.69 hours
Episode  118 | Return  -124.896 | Updates  200 | Remaining time  0.69 hours
Episode  119 | Return    -8.361 | Updates  200 | Remaining time  0.69 hours
Episode  120 | Return  -293.527 | Updates  200 | Remaining time  0.69 hours
Episode  121 | Return  -121.919 | Updates  200 | Remaining time  0.69 hours
Episode  122 | Return  -134.471 | Updates  200 | Remaining time  0.69 hours
Episode  123 | Return  -240.243 | Updates  200 | Remaining time  0.69 hours
Episode  124 | Return  -134.127 | Updates  200 | Remaining time  0.69 hours
Episode  125 | Return  -244.508 | Updates  200 | Remaining time  0.69 hours
Episode  126 | Return  -295.369 | Updates  200 | Remaining time  0.69 hours
Episode  127 | Return    -7.645 | Updates  200 | Remaining time  0.69 hours
Episode  128 | Return    -8.837 | Updates  200 | Remaining time  0.69 hours
Episode  129 | Return  -124.866 | Updates  200 | Remaining time  0.69 hours
Episode  130 | Return  -121.676 | Updates  200 | Remaining time  0.69 hours
Episode  131 | Return  -127.869 | Updates  200 | Remaining time  0.69 hours
Episode  132 | Return  -127.912 | Updates  200 | Remaining time  0.68 hours
Episode  133 | Return  -131.946 | Updates  200 | Remaining time  0.68 hours
Episode  134 | Return   -11.133 | Updates  200 | Remaining time  0.68 hours
Episode  135 | Return  -243.169 | Updates  200 | Remaining time  0.68 hours
Episode  136 | Return  -132.113 | Updates  200 | Remaining time  0.68 hours
Episode  137 | Return  -134.949 | Updates  200 | Remaining time  0.68 hours
Episode  138 | Return    -9.800 | Updates  200 | Remaining time  0.68 hours
Episode  139 | Return  -127.420 | Updates  200 | Remaining time  0.68 hours
Episode  140 | Return  -131.822 | Updates  200 | Remaining time  0.68 hours
Episode  141 | Return  -131.667 | Updates  200 | Remaining time  0.68 hours
Episode  142 | Return  -239.221 | Updates  200 | Remaining time  0.68 hours
Episode  143 | Return  -234.713 | Updates  200 | Remaining time  0.68 hours
Episode  144 | Return  -235.452 | Updates  200 | Remaining time  0.68 hours
Episode  145 | Return  -134.459 | Updates  200 | Remaining time  0.68 hours
Episode  146 | Return    -7.166 | Updates  200 | Remaining time  0.68 hours
Episode  147 | Return  -121.313 | Updates  200 | Remaining time  0.68 hours
Episode  148 | Return    -9.644 | Updates  200 | Remaining time  0.68 hours
Episode  149 | Return  -123.958 | Updates  200 | Remaining time  0.68 hours
Episode  150 | Return  -247.205 | Updates  200 | Remaining time  0.68 hours
Episode  151 | Return  -127.032 | Updates  200 | Remaining time  0.68 hours
Episode  152 | Return    -8.230 | Updates  200 | Remaining time  0.67 hours
Episode  153 | Return  -129.951 | Updates  200 | Remaining time  0.67 hours
Episode  154 | Return  -128.864 | Updates  200 | Remaining time  0.67 hours
Episode  155 | Return  -122.598 | Updates  200 | Remaining time  0.67 hours
Episode  156 | Return  -243.273 | Updates  200 | Remaining time  0.67 hours
Episode  157 | Return  -230.756 | Updates  200 | Remaining time  0.67 hours
Episode  158 | Return  -237.147 | Updates  200 | Remaining time  0.67 hours
Episode  159 | Return  -131.312 | Updates  200 | Remaining time  0.67 hours
Episode  160 | Return  -132.423 | Updates  200 | Remaining time  0.67 hours
Episode  161 | Return  -131.726 | Updates  200 | Remaining time  0.67 hours
Episode  162 | Return  -136.981 | Updates  200 | Remaining time  0.67 hours
Episode  163 | Return    -8.134 | Updates  200 | Remaining time  0.67 hours
Episode  164 | Return  -134.425 | Updates  200 | Remaining time  0.67 hours
Episode  165 | Return  -137.122 | Updates  200 | Remaining time  0.66 hours
Episode  166 | Return  -132.468 | Updates  200 | Remaining time  0.66 hours
Episode  167 | Return  -141.722 | Updates  200 | Remaining time  0.66 hours
Episode  168 | Return  -135.482 | Updates  200 | Remaining time  0.66 hours
Episode  169 | Return  -129.351 | Updates  200 | Remaining time  0.66 hours
Episode  170 | Return  -138.254 | Updates  200 | Remaining time  0.66 hours
Episode  171 | Return  -135.130 | Updates  200 | Remaining time  0.66 hours
Episode  172 | Return  -131.158 | Updates  200 | Remaining time  0.66 hours
Episode  173 | Return  -236.316 | Updates  200 | Remaining time  0.66 hours
Episode  174 | Return  -239.397 | Updates  200 | Remaining time  0.66 hours
Episode  175 | Return  -120.061 | Updates  200 | Remaining time  0.66 hours
Episode  176 | Return  -124.869 | Updates  200 | Remaining time  0.66 hours
Episode  177 | Return  -227.130 | Updates  200 | Remaining time  0.66 hours
Episode  178 | Return  -127.371 | Updates  200 | Remaining time  0.66 hours
Episode  179 | Return    -8.403 | Updates  200 | Remaining time  0.66 hours
Episode  180 | Return  -132.341 | Updates  200 | Remaining time  0.66 hours
Episode  181 | Return  -131.423 | Updates  200 | Remaining time  0.66 hours
Episode  182 | Return  -124.801 | Updates  200 | Remaining time  0.65 hours
Episode  183 | Return  -124.656 | Updates  200 | Remaining time  0.65 hours
Episode  184 | Return  -234.241 | Updates  200 | Remaining time  0.65 hours
Episode  185 | Return  -136.158 | Updates  200 | Remaining time  0.65 hours
Episode  186 | Return  -330.945 | Updates  200 | Remaining time  0.65 hours
Episode  187 | Return  -132.681 | Updates  200 | Remaining time  0.65 hours
Episode  188 | Return  -130.196 | Updates  200 | Remaining time  0.65 hours
Episode  189 | Return  -135.543 | Updates  200 | Remaining time  0.65 hours
Episode  190 | Return    -9.703 | Updates  200 | Remaining time  0.65 hours
Episode  191 | Return  -233.383 | Updates  200 | Remaining time  0.65 hours
Episode  192 | Return  -135.860 | Updates  200 | Remaining time  0.65 hours
Episode  193 | Return   -10.530 | Updates  200 | Remaining time  0.65 hours
Episode  194 | Return   -10.382 | Updates  200 | Remaining time  0.65 hours
Episode  195 | Return  -123.143 | Updates  200 | Remaining time  0.65 hours
Episode  196 | Return  -135.525 | Updates  200 | Remaining time  0.65 hours
Episode  197 | Return  -237.331 | Updates  200 | Remaining time  0.64 hours
Episode  198 | Return  -126.854 | Updates  200 | Remaining time  0.64 hours
Episode  199 | Return    -9.861 | Updates  200 | Remaining time  0.64 hours
Episode  200 | Return  -233.947 | Updates  200 | Remaining time  0.64 hours
Episode  201 | Return  -128.155 | Updates  200 | Remaining time  0.64 hours
Episode  202 | Return  -238.716 | Updates  200 | Remaining time  0.64 hours
Episode  203 | Return  -133.546 | Updates  200 | Remaining time  0.64 hours
Episode  204 | Return  -241.138 | Updates  200 | Remaining time  0.64 hours
Episode  205 | Return  -123.614 | Updates  200 | Remaining time  0.64 hours
Episode  206 | Return  -135.193 | Updates  200 | Remaining time  0.64 hours
Episode  207 | Return  -237.561 | Updates  200 | Remaining time  0.64 hours
Episode  208 | Return  -123.236 | Updates  200 | Remaining time  0.64 hours
Episode  209 | Return   -12.116 | Updates  200 | Remaining time  0.64 hours
Episode  210 | Return  -130.308 | Updates  200 | Remaining time  0.64 hours
Episode  211 | Return  -130.375 | Updates  200 | Remaining time  0.63 hours
Episode  212 | Return  -128.632 | Updates  200 | Remaining time  0.63 hours
Episode  213 | Return   -10.060 | Updates  200 | Remaining time  0.63 hours
Episode  214 | Return   -10.501 | Updates  200 | Remaining time  0.63 hours
Episode  215 | Return  -133.940 | Updates  200 | Remaining time  0.63 hours
Episode  216 | Return  -348.260 | Updates  200 | Remaining time  0.63 hours
Episode  217 | Return  -123.703 | Updates  200 | Remaining time  0.63 hours
Episode  218 | Return  -132.233 | Updates  200 | Remaining time  0.63 hours
Episode  219 | Return  -231.343 | Updates  200 | Remaining time  0.63 hours
Episode  220 | Return  -127.731 | Updates  200 | Remaining time  0.63 hours
Episode  221 | Return  -137.667 | Updates  200 | Remaining time  0.63 hours
Episode  222 | Return  -134.996 | Updates  200 | Remaining time  0.63 hours
Episode  223 | Return  -238.155 | Updates  200 | Remaining time  0.63 hours
Episode  224 | Return  -133.287 | Updates  200 | Remaining time  0.62 hours
Episode  225 | Return  -241.343 | Updates  200 | Remaining time  0.62 hours
Episode  226 | Return  -130.431 | Updates  200 | Remaining time  0.62 hours
Episode  227 | Return  -134.122 | Updates  200 | Remaining time  0.62 hours
Episode  228 | Return  -132.003 | Updates  200 | Remaining time  0.62 hours
Episode  229 | Return  -248.900 | Updates  200 | Remaining time  0.62 hours
Episode  230 | Return  -129.721 | Updates  200 | Remaining time  0.62 hours
Episode  231 | Return  -127.663 | Updates  200 | Remaining time  0.62 hours
Episode  232 | Return  -129.597 | Updates  200 | Remaining time  0.62 hours
Episode  233 | Return  -240.143 | Updates  200 | Remaining time  0.62 hours
Episode  234 | Return  -237.771 | Updates  200 | Remaining time  0.62 hours
Episode  235 | Return  -129.350 | Updates  200 | Remaining time  0.62 hours
Episode  236 | Return  -136.584 | Updates  200 | Remaining time  0.62 hours
Episode  237 | Return  -124.252 | Updates  200 | Remaining time  0.61 hours
Episode  238 | Return  -123.105 | Updates  200 | Remaining time  0.61 hours
Episode  239 | Return  -133.600 | Updates  200 | Remaining time  0.61 hours
Episode  240 | Return  -132.964 | Updates  200 | Remaining time  0.61 hours
Episode  241 | Return  -356.183 | Updates  200 | Remaining time  0.61 hours
Episode  242 | Return  -234.540 | Updates  200 | Remaining time  0.61 hours
Episode  243 | Return  -125.358 | Updates  200 | Remaining time  0.61 hours
Episode  244 | Return    -5.619 | Updates  200 | Remaining time  0.61 hours
Episode  245 | Return  -125.031 | Updates  200 | Remaining time  0.61 hours
Episode  246 | Return  -131.044 | Updates  200 | Remaining time  0.61 hours
Episode  247 | Return  -131.078 | Updates  200 | Remaining time  0.61 hours
Episode  248 | Return  -231.257 | Updates  200 | Remaining time  0.61 hours
Episode  249 | Return  -123.671 | Updates  200 | Remaining time  0.61 hours
Episode  250 | Return  -229.726 | Updates  200 | Remaining time  0.60 hours
Episode  251 | Return  -134.515 | Updates  200 | Remaining time  0.60 hours
Episode  252 | Return  -127.448 | Updates  200 | Remaining time  0.60 hours
Episode  253 | Return  -238.475 | Updates  200 | Remaining time  0.60 hours
Episode  254 | Return  -234.514 | Updates  200 | Remaining time  0.60 hours
Episode  255 | Return  -231.126 | Updates  200 | Remaining time  0.60 hours
Episode  256 | Return  -129.218 | Updates  200 | Remaining time  0.60 hours
Episode  257 | Return  -240.198 | Updates  200 | Remaining time  0.60 hours
Episode  258 | Return  -123.568 | Updates  200 | Remaining time  0.60 hours
Episode  259 | Return  -345.288 | Updates  200 | Remaining time  0.60 hours
Episode  260 | Return    -6.511 | Updates  200 | Remaining time  0.60 hours
Episode  261 | Return  -248.267 | Updates  200 | Remaining time  0.60 hours
Episode  262 | Return  -235.608 | Updates  200 | Remaining time  0.60 hours
Episode  263 | Return  -126.101 | Updates  200 | Remaining time  0.60 hours
Episode  264 | Return  -131.366 | Updates  200 | Remaining time  0.60 hours
Episode  265 | Return    -7.632 | Updates  200 | Remaining time  0.60 hours
Episode  266 | Return  -123.781 | Updates  200 | Remaining time  0.59 hours
Episode  267 | Return  -122.428 | Updates  200 | Remaining time  0.59 hours
Episode  268 | Return  -124.688 | Updates  200 | Remaining time  0.59 hours
Episode  269 | Return  -238.714 | Updates  200 | Remaining time  0.59 hours
Episode  270 | Return  -125.765 | Updates  200 | Remaining time  0.59 hours
Episode  271 | Return  -131.224 | Updates  200 | Remaining time  0.59 hours
Episode  272 | Return    -7.323 | Updates  200 | Remaining time  0.59 hours
Episode  273 | Return  -238.082 | Updates  200 | Remaining time  0.59 hours
Episode  274 | Return  -128.872 | Updates  200 | Remaining time  0.59 hours
Episode  275 | Return  -124.191 | Updates  200 | Remaining time  0.59 hours
Episode  276 | Return  -253.713 | Updates  200 | Remaining time  0.59 hours
Episode  277 | Return  -246.465 | Updates  200 | Remaining time  0.59 hours
Episode  278 | Return  -120.716 | Updates  200 | Remaining time  0.59 hours
Episode  279 | Return  -133.953 | Updates  200 | Remaining time  0.59 hours
Episode  280 | Return  -128.354 | Updates  200 | Remaining time  0.58 hours
Episode  281 | Return  -298.811 | Updates  200 | Remaining time  0.58 hours
Episode  282 | Return  -124.789 | Updates  200 | Remaining time  0.58 hours
Episode  283 | Return  -127.213 | Updates  200 | Remaining time  0.58 hours
Episode  284 | Return  -221.549 | Updates  200 | Remaining time  0.58 hours
Episode  285 | Return  -127.466 | Updates  200 | Remaining time  0.58 hours
Episode  286 | Return  -133.443 | Updates  200 | Remaining time  0.58 hours
Episode  287 | Return  -233.895 | Updates  200 | Remaining time  0.58 hours
Episode  288 | Return  -125.440 | Updates  200 | Remaining time  0.58 hours
Episode  289 | Return  -126.564 | Updates  200 | Remaining time  0.58 hours
Episode  290 | Return  -130.412 | Updates  200 | Remaining time  0.58 hours
Episode  291 | Return  -131.811 | Updates  200 | Remaining time  0.58 hours
Episode  292 | Return  -135.594 | Updates  200 | Remaining time  0.57 hours
Episode  293 | Return  -122.128 | Updates  200 | Remaining time  0.57 hours
Episode  294 | Return  -134.862 | Updates  200 | Remaining time  0.57 hours
Episode  295 | Return  -133.766 | Updates  200 | Remaining time  0.57 hours
