nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=10000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/21reuuzh
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211213_125348-21reuuzh
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode   69 | Return  -333.718 | Updates  200 | Remaining time 41.58 hours
Episode   70 | Return  -246.525 | Updates  200 | Remaining time 41.61 hours
Episode   71 | Return  -135.389 | Updates  200 | Remaining time 41.71 hours
Episode   72 | Return  -126.014 | Updates  200 | Remaining time 41.72 hours
Episode   73 | Return   -10.774 | Updates  200 | Remaining time 41.80 hours
Episode   74 | Return   -11.691 | Updates  200 | Remaining time 41.81 hours
Episode   75 | Return  -248.432 | Updates  200 | Remaining time 41.84 hours
Episode   76 | Return  -126.258 | Updates  200 | Remaining time 41.92 hours
Episode   77 | Return  -122.698 | Updates  200 | Remaining time 41.90 hours
Episode   78 | Return  -244.680 | Updates  200 | Remaining time 41.94 hours
Episode   79 | Return  -129.734 | Updates  200 | Remaining time 41.93 hours
Episode   80 | Return  -237.938 | Updates  200 | Remaining time 41.92 hours
Episode   81 | Return  -232.623 | Updates  200 | Remaining time 41.94 hours
Episode   82 | Return  -124.759 | Updates  200 | Remaining time 41.94 hours
Episode   83 | Return  -117.265 | Updates  200 | Remaining time 41.98 hours
Episode   84 | Return  -128.295 | Updates  200 | Remaining time 42.02 hours
Episode   85 | Return  -382.627 | Updates  200 | Remaining time 42.07 hours
Episode   86 | Return  -129.906 | Updates  200 | Remaining time 42.10 hours
Episode   87 | Return  -128.983 | Updates  200 | Remaining time 42.11 hours
Episode   88 | Return  -354.910 | Updates  200 | Remaining time 42.16 hours
Episode   89 | Return  -370.614 | Updates  200 | Remaining time 42.18 hours
Episode   90 | Return  -253.086 | Updates  200 | Remaining time 42.21 hours
Episode   91 | Return  -124.471 | Updates  200 | Remaining time 42.22 hours
Episode   92 | Return -1510.038 | Updates  200 | Remaining time 42.25 hours
Episode   93 | Return    -6.595 | Updates  200 | Remaining time 42.28 hours
Episode   94 | Return  -128.145 | Updates  200 | Remaining time 42.31 hours
Episode   95 | Return  -125.904 | Updates  200 | Remaining time 42.36 hours
Episode   96 | Return  -124.736 | Updates  200 | Remaining time 42.40 hours
Episode   97 | Return  -121.471 | Updates  200 | Remaining time 42.41 hours
Episode   98 | Return  -121.989 | Updates  200 | Remaining time 42.42 hours
Episode   99 | Return  -238.947 | Updates  200 | Remaining time 42.49 hours
Episode  100 | Return  -118.718 | Updates  200 | Remaining time 42.54 hours
Episode  101 | Return  -228.959 | Updates  200 | Remaining time 42.56 hours
Episode  102 | Return  -120.592 | Updates  200 | Remaining time 42.63 hours
Episode  103 | Return  -129.199 | Updates  200 | Remaining time 42.73 hours
Episode  104 | Return  -120.214 | Updates  200 | Remaining time 42.75 hours
Episode  105 | Return  -235.490 | Updates  200 | Remaining time 42.77 hours
Episode  106 | Return  -122.266 | Updates  200 | Remaining time 42.82 hours
Episode  107 | Return  -226.943 | Updates  200 | Remaining time 42.84 hours
Episode  108 | Return  -271.320 | Updates  200 | Remaining time 42.87 hours
Episode  109 | Return  -120.053 | Updates  200 | Remaining time 42.89 hours
Episode  110 | Return  -125.038 | Updates  200 | Remaining time 42.91 hours
Episode  111 | Return  -387.791 | Updates  200 | Remaining time 42.93 hours
Episode  112 | Return  -122.895 | Updates  200 | Remaining time 42.94 hours
Episode  113 | Return  -323.560 | Updates  200 | Remaining time 42.96 hours
Episode  114 | Return  -257.502 | Updates  200 | Remaining time 42.96 hours
Episode  115 | Return  -237.681 | Updates  200 | Remaining time 42.99 hours
